disno.,total_deaths,no._injured,no._affected,no._homeless,total_affected,magnitude,total_damage_000_us$,"total_damage,_adjusted_000_us$"
1999-9388-DJI,0.0,0.0,100000.0,0.0,100000.0,190.0,0.0,0.0
1999-9388-SDN,0.0,0.0,2000000.0,0.0,2000000.0,190.0,0.0,0.0
1999-9388-SOM,21.0,0.0,1200000.0,0.0,1200000.0,190.0,0.0,0.0
2000-0001-AGO,14.0,11.0,0.0,0.0,11.0,190.0,0.0,0.0
2000-0002-AGO,31.0,0.0,70000.0,0.0,70000.0,47000.0,10000.0,17695.0
2000-0003-BGD,49.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0
2000-0004-BRA,42.0,71.0,0.0,0.0,71.0,190.0,0.0,0.0
2000-0005-CHN,22.0,29.0,0.0,0.0,29.0,190.0,0.0,0.0
2000-0006-CHN,12.0,18.0,0.0,0.0,18.0,190.0,0.0,0.0
2000-0007-EGY,21.0,19.0,0.0,0.0,19.0,190.0,0.0,0.0
2000-0008-GTM,0.0,0.0,800.0,0.0,800.0,190.0,0.0,0.0
2000-0009-IRN,3.0,0.0,0.0,5500.0,5500.0,120.0,0.0,0.0
2000-0010-IDN,13.0,22.0,0.0,0.0,22.0,190.0,0.0,0.0
2000-0011-IDN,13.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0012-MOZ,800.0,0.0,4500000.0,0.0,4500000.0,1980.0,419200.0,741759.0
2000-0013-NGA,40.0,35.0,0.0,0.0,35.0,190.0,0.0,0.0
2000-0014-MWI,15.0,25.0,0.0,0.0,25.0,190.0,0.0,0.0
2000-0015-PER,29.0,7.0,0.0,0.0,7.0,190.0,0.0,0.0
2000-0017-ZAF,0.0,0.0,1000.0,250.0,1250.0,190.0,10000.0,17695.0
2000-0018-ZAF,30.0,50.0,0.0,0.0,50.0,190.0,0.0,0.0
2000-0019-BRA,26.0,0.0,0.0,70000.0,70000.0,350000.0,0.0,0.0
2000-0020-IND,275.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0021-USA,1.0,12.0,0.0,150.0,162.0,190.0,210000.0,371587.0
2000-0023-BGD,0.0,0.0,1000.0,0.0,1000.0,4.3,0.0,0.0
2000-0024-NOR,19.0,30.0,0.0,0.0,30.0,190.0,0.0,0.0
2000-0025-CIV,169.0,10.0,0.0,0.0,10.0,190.0,0.0,0.0
2000-0026-CHN,21.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0027-IND,18.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0028-ROU,14.0,0.0,0.0,300.0,300.0,190.0,0.0,0.0
2000-0029-BGR,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0030-IND,10.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0031-LBY,23.0,18.0,0.0,0.0,18.0,190.0,0.0,0.0
2000-0032-CHE,10.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0033-CHN,7.0,2528.0,1760000.0,92479.0,1855007.0,5.9,73500.0,130056.0
2000-0034-CHN,22.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0035-USA,88.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2000-0036-CHN,1.0,2.0,10300.0,0.0,10302.0,4.9,483.0,855.0
2000-0037-REU,2.0,0.0,0.0,600.0,600.0,153.0,0.0,0.0
2000-0038-PHL,50.0,0.0,153885.0,0.0,153885.0,16700.0,4080.0,7219.0
2000-0039-ESP,0.0,163.0,0.0,0.0,163.0,190.0,0.0,0.0
2000-0040-PAK,11.0,30.0,0.0,0.0,30.0,190.0,0.0,0.0
